Sample,Prin1,Prin2,Prin3,Prin4
GA,0.019501956,0.000903258,-0.000250709,0.003099695
GA,-0.003961541,-0.008594085,0.00056693,-0.001281992
GA,0.016758474,-0.001717626,-5.62972E-05,0.002807584
GA,0.016592394,0.004831788,-0.000393388,0.004242769
GA,0.013726579,-0.005262242,-0.001202542,0.006433423
GA,0.020986845,0.004978475,-0.000772895,0.004855005
GA,0.008787167,-0.006037398,-0.000101909,0.002983371
GA,0.005454071,-0.008739966,-0.000740766,0.006696086
GA,0.005999116,-0.00552469,0.000309504,0.003146458
GA,0.005760572,0.001050204,0.000583698,0.00083377
GA,0.013205493,0.006219998,0.001173987,-0.002403718
GA,0.012366326,-0.000750687,0.000712874,-0.001378552
GA,-0.00023778,0.00842569,-0.000218716,0.005858004
GA,0.003726093,-0.000889104,-0.000597058,0.005241087
GA,0.004016834,-0.002540648,0.000427334,-0.001981722
GA,0.002533844,-0.003155095,-0.000402103,0.002703237
GA,0.00230036,0.008658589,-0.000472726,0.005829505
GA,0.012734574,-0.009755423,-0.000450638,0.003474476
GA,0.015382942,0.002879272,0.00019297,0.001392915
GA,-0.004820369,0.002522265,0.000276625,-0.001482339
GA,-0.003398782,-0.01180389,-0.000736726,0.003706582
GA,0.007597903,0.008635083,1.62248E-05,0.003399455
GA,0.019601919,6.94112E-05,-0.000771179,0.004323562
GA,0.004138993,0.002344274,0.001155515,-0.002380057
GA,0.017335723,0.002398248,-0.000302171,0.002371177
GA,0.011686821,-0.004172564,9.60418E-05,-0.000478926
GA,0.016673412,0.000822408,-0.000946087,0.005417225
GA,0.02020059,0.003756572,-3.93757E-05,0.002316201
GA,0.011173425,0.002547397,-2.10999E-05,0.00078755
GA,0.008334414,-0.006319993,0.000267492,0.000587736
GA,-0.003503543,-0.003647638,-0.000474033,0.006041226
GA,0.000671711,-0.006472473,-0.001027875,0.009719023
GA,-0.003161444,-0.003682466,-0.000540084,0.005383227
GA,0.013969326,0.000692692,-0.000116354,0.002097612
GA,0.018270495,0.003699109,-0.000415557,0.00391754
GA,0.019386068,0.001126279,-0.000318593,0.003639867
