Sample,FFT_#,q#,Vol_wt
CMP,8,11,348.0004117
CMP,7,7,225.9055366
CMP,7,6,210.7924225
CMP,7,8,192.1568992
CMP,7,8,233.0767931
CMP,11,8,399.8191756
CMP,7,8,277.6394355
CMP,8,5,244.4958361
CMP,8,8,185.4373272
CMP,6,5,552.4020149
CMP,10,9,118278.2786
CMP,10,7,76730.62891
CMP,11,8,132863.191
CMP,9,5,61017.83277
CMP,9,4,183441.8245
CMP,10,10,281880.2539
CMP,9,5,97693.70774
CMP,8,7,132138.0926
CMP,8,6,171704.8392
CMP,11,7,98805.6477
CMP,9,8,135226.7577
CMP,10,5,148153.1838
CMP,6,7,104592.9626
CMP,11,5,160293.0674
CMP,9,6,232433.4909
CMP,8,5,139804.3535
CMP,7,6,122192.9374
CMP,8,5,201927.7693
CMP,10,4,91887.93315
CMP,10,7,110915.005
CMP,11,9,247751.9074
CMP,9,6,102166.3164
CMP,8,6,226869.2877
CMP,10,6,72867.16167
CMP,11,6,99704.3358
CMP,8,5,96670.49667
CMP,9,10,11592.3455
CMP,8,7,162370.0273
CMP,9,5,61664.59876
CMP,10,7,109543.0412
CMP,8,5,140108.3943
CMP,9,4,171695.5851
CMP,10,7,53569.40084
CMP,8,5,83971.96456
CMP,8,6,137466.0452
CMP,9,7,234989.7023
CMP,7,7,76702.20249
CMP,13,10,428952.6689
CMP,10,5,74832.89467
CMP,9,5,59803.15874
CMP,9,9,11148.34697
CMP,8,7,53777.67899
CMP,10,14,305795.3979
CMP,10,6,80096.74067
CMP,9,5,249372.1015
CMP,11,5,68077.71908
CMP,9,6,109046.972
CMP,8,9,13636.37022
CMP,10,7,53657.74894
CMP,11,7,47332.40796
CMP,8,5,125965.2881
CMP,9,6,139370.3249
CMP,8,6,95505.55752
CMP,6,4,45917.08429
CMP,9,4,164538.3982
CMP,9,7,70358.71827
CMP,8,5,73735.54305
CMP,7,5,173195.0885
CMP,6,6,773.7329979
CMP,9,9,67130.21696
CMP,6,5,37974.54276
CMP,10,8,5733.271674
CMP,10,8,46885.20125
CMP,7,4,102526.3287
CMP,10,6,86801.38951
CMP,10,10,301476.5303
CMP,10,11,6044.499098
CMP,5,5,278.7318258
CMP,9,14,209961.4116
CMP,10,5,163320.3742
CMP,10,7,128667.5042
CMP,7,5,107531.6034
CMP,11,10,230050.6572
CMP,9,10,49546.56814
CMP,8,6,119248.8035
CMP,10,5,81391.38072
CMP,9,5,110328.5847
CMP,10,9,114138.328
CMP,9,9,51432.87565
CMP,9,32,10118.22311
CMP,10,7,41647.91394
CMP,12,6,64502.19449
CMP,10,6,106094.5356
CMP,9,8,92076.77921
CMP,7,5,69965.30666
CMP,10,7,159611.8706
CMP,12,8,213092.0044
CMP,6,6,105730.3896
CMP,8,4,105129.5522
CMP,7,5,146871.1355
CMP,7,5,100574.619
CMP,10,5,128490.1179
CMP,8,7,40873.07393
CMP,8,7,54848.63166
CMP,9,5,119669.1522
CMP,8,7,94871.42046
CMP,10,9,138546.9264
CMP,9,6,114300.6975
CMP,9,7,33970.67946
CMP,9,5,78916.71932
CMP,8,6,74044.53425
CMP,11,8,110055.8182
CMP,10,5,66994.25519
CMP,10,7,51097.14706
CMP,10,7,107945.6519
CMP,10,7,95604.99363
CMP,11,6,212053.4665
CMP,6,6,91729.45379
CMP,11,12,160720.55
CMP,8,6,88764.70836
CMP,8,4,91684.13274
CMP,11,10,64086.53949
CMP,13,5,127815.238
CMP,6,5,305.3726711
CMP,9,7,98287.74331
CMP,11,8,191264.3075
CMP,6,5,103569.7261
CMP,5,4,69057.14428
CMP,10,5,106371.9522
CMP,11,5,341061.7451
CMP,9,5,64381.43789
CMP,9,7,51271.13294
CMP,11,4,200937.0685
CMP,10,11,101345.9973
CMP,8,5,154098.0829
CMP,9,5,125043.7275
CMP,9,7,175597.7723
CMP,8,6,46981.78196
CMP,8,5,69613.96959
CMP,11,6,86557.03033
CMP,10,7,66580.11238
CMP,8,6,67818.2533
CMP,9,7,99890.59288
CMP,11,7,105453.5324
CMP,11,7,86172.40364
CMP,9,4,116655.6541
CMP,8,5,102487.1566
CMP,9,5,87587.93115
CMP,9,5,123215.7469
CMP,11,7,99270.14055
CMP,12,9,35631.4257
CMP,7,5,361.0274352
CMP,10,7,253512.2373
CMP,6,5,74093.73307
CMP,7,4,232659.8524
CMP,9,5,106363.9922
CMP,8,5,80031.83172
CMP,9,5,91699.21638
CMP,8,5,106348.1438
CMP,8,4,107579.3265
CMP,8,6,249087.7778
CMP,9,6,42667.05845
CMP,10,6,122184.6753
CMP,9,4,88764.70836
CMP,6,6,31249.88389
CMP,10,5,131082.6438
CMP,9,7,76268.91221
CMP,7,5,119561.9866
CMP,10,6,85316.49632
CMP,11,10,102166.3164
CMP,9,7,88764.70836
CMP,10,7,108009.3657
CMP,9,11,533.2920319
CMP,7,5,68146.08344
CMP,7,5,99479.40956
CMP,8,4,105880.724
CMP,14,7,42211.80907
CMP,8,11,23576.79398
CMP,8,4,89220.43431
CMP,11,10,80125.64502
CMP,9,5,84001.26198
CMP,8,5,74016.44352
CMP,10,7,144634.3817
CMP,8,5,60774.28248
CMP,9,6,100247.9848
CMP,6,5,332.8121412
CMP,8,4,108097.0285
CMP,8,5,89175.59739
CMP,8,5,119627.9081
CMP,11,7,57430.6627
CMP,7,6,68385.41608
CMP,7,7,127899.4954
CMP,11,10,42031.28168
CMP,6,6,106625.7099
CMP,12,5,167407.4799
CMP,8,7,77264.56142
CMP,5,5,133546.8258
CMP,10,8,67927.47145
CMP,11,7,53657.74894
CMP,10,6,106070.819
CMP,10,6,60150.34285
CMP,11,5,12688.24928
CMP,8,5,50341.5211
CMP,9,9,95773.35924
CMP,10,6,149536.6206
CMP,9,4,130030.0203
CMP,9,7,71717.03523
CMP,11,5,110063.8692
CMP,7,6,82605.43328
CMP,7,7,109575.053
CMP,10,6,88854.31874
CMP,12,5,118483.6944
CMP,9,5,51731.82875
CMP,7,4,85463.86102
CMP,10,4,267802.8223
CMP,10,6,109951.6036
CMP,10,8,107786.2793
CMP,10,9,253766.5145
CMP,8,4,96493.96972
CMP,10,5,142452.8107
CMP,10,8,106522.5899
CMP,11,8,48133.62576
CMP,12,6,108073.1636
CMP,9,6,49172.13403
CMP,9,6,115463.9034
CMP,6,4,241566.6692
CMP,10,7,83627.81111
CMP,10,6,146544.6402
CMP,8,5,147675.3104
CMP,11,6,203175.7681
CMP,8,6,42106.97888
CMP,8,6,101916.0796
CMP,10,4,143827.0514
CMP,10,5,200721.4174
CMP,10,7,36760.62644
CMP,9,6,116786.4325
CMP,9,7,115154.4163
CMP,11,4,79405.30519
CMP,7,6,74178.04523
CMP,8,5,122026.912
CMP,8,7,121520.9662
CMP,10,6,146668.1847
CMP,11,6,122192.9374
CMP,10,10,151423.5145
CMP,9,7,108184.7149
CMP,9,8,116075.5856
CMP,8,5,477.3264264
CMP,7,6,106538.4469
CMP,9,5,98589.09142
CMP,9,9,128980.2295
CMP,10,7,84573.50555
CMP,11,6,178520.0133
CMP,10,8,61281.51775
CMP,10,5,53468.49911
CMP,9,5,103004.4464
CMP,10,23,21534.64835
CMP,8,9,674.5913829
CMP,12,8,153873.8496
CMP,7,5,146288.8823
CMP,9,3,110513.2414
CMP,12,6,128811.184
CMP,9,7,214562.9482
CMP,10,8,98650.90887
CMP,6,6,92992.56674
CMP,11,15,14240.40862
CMP,6,5,1076.390976
CMP,9,5,104782.2842
CMP,10,9,415483.1378
CMP,9,7,127688.8489
CMP,9,5,132504.6824
CMP,11,7,289562.0226
CMP,8,5,36866.36283
CMP,11,4,88384.31759
CMP,8,7,135261.0976
CMP,7,4,94109.23319
CMP,11,7,17744.91321
CMP,9,6,127091.0118
CMP,7,5,86742.15399
CMP,10,5,80010.24239
CMP,9,6,53998.92579
CMP,10,10,100925.0019
CMP,9,4,101400.6213
CMP,9,7,115227.6928
CMP,10,5,112470.285
CMP,10,10,113789.469
CMP,9,5,106094.5356
CMP,10,12,42124.40975
CMP,10,9,43688.51869
CMP,8,6,76205.05447
CMP,7,6,175026.5662
CMP,10,7,96509.31263
CMP,8,5,90246.7568
CMP,8,7,46927.45054
CMP,13,4,11702.34412
CMP,10,8,92371.64784
CMP,8,7,1515.099911
CMP,8,5,147171.5
CMP,9,5,100932.8239
CMP,11,8,241097.8557
CMP,8,5,69806.76453
CMP,10,4,84221.23274
CMP,9,6,97840.2033
CMP,9,7,74375.02401
CMP,8,7,83693.67775
CMP,7,5,187679.4847
CMP,11,7,268320.6451
CMP,11,7,95689.16409
CMP,8,4,7126.044203
CMP,12,13,508032.0629
CMP,10,7,56387.97104
CMP,13,9,221674.2175
CMP,11,6,99432.84631
CMP,12,5,97501.16367
CMP,8,5,158134.5881
CMP,10,5,125252.9853
CMP,8,7,82379.63477
CMP,10,6,78364.68448
CMP,7,5,139613.3504
CMP,10,6,137932.6545
CMP,9,5,68775.8495
CMP,9,9,60353.6909
CMP,9,7,129216.987
CMP,8,7,2913.276466
CMP,9,8,72909.14256
CMP,9,5,82860.60191
CMP,7,6,99719.847
CMP,7,5,116598.4173
CMP,12,5,220025.5011
CMP,6,5,412.2097241
CMP,8,6,98141.0938
CMP,9,8,93273.23841
CMP,9,6,137155.2652
CMP,10,11,42895.3191
CMP,12,6,118286.4518
CMP,9,5,125244.6547
CMP,11,7,124759.4022
CMP,7,5,64006.1801
CMP,6,6,155688.7545
CMP,9,6,167213.9034
CMP,7,4,141579.7479
CMP,9,6,80508.25936
CMP,8,7,1457.809756
CMP,6,6,41624.72664
CMP,8,4,92757.66694
CMP,10,5,113740.8446
CMP,12,9,76439.26543
CMP,8,5,51968.93254
CMP,8,5,176826.7349
CMP,10,14,275333.8371
CMP,9,6,63211.30882
CMP,7,6,123082.5359
CMP,10,10,119430.0322
CMP,7,6,90111.68735
CMP,8,5,89729.37939
CMP,11,9,12334.74952
CMP,9,8,59117.40636
CMP,9,3,101611.3757
CMP,9,8,33889.4372
CMP,10,5,45929.0629
CMP,12,9,410262.239
CMP,9,6,93076.03166
CMP,10,7,132709.5268
CMP,11,8,46644.06651
CMP,9,7,53462.22664
CMP,11,7,118861.9136
CMP,9,6,126024.0181
CMP,9,6,100457.9382
CMP,8,5,89909.20967
CMP,8,5,35142.51154
CMP,8,6,81246.39632
CMP,9,6,94048.37953
CMP,7,8,124358.2504
CMP,8,5,130080.8628
CMP,8,6,65707.12063
CMP,8,3,143257.5663
CMP,7,4,116647.4455
CMP,7,5,97362.56621
CMP,8,5,67422.86708
CMP,12,10,203106.9898
CMP,10,13,89587.05136
CMP,10,8,158768.4364
CMP,9,5,53872.48625
CMP,9,4,74290.5742
CMP,9,6,99805.20777
CMP,8,6,179850.2232
CMP,8,4,44214.06269
CMP,8,7,98937.15599
CMP,9,7,18117.19353
CMP,9,6,141937.4904
CMP,7,6,132837.5507
CMP,8,6,116459.4317
CMP,7,5,121115.0816
CMP,9,7,63271.30983
CMP,7,5,69215.05571
CMP,9,4,689.3201312
CMP,8,6,69180.75439
CMP,8,5,112793.5847
CMP,9,6,107253.1815
CMP,8,5,130810.7135
CMP,10,9,3951.452593
CMP,7,6,72225.11038
CMP,10,5,245778.67
CMP,7,7,112397.5979
CMP,10,5,117449.6508
